second,Volt
-216.3000E-06,+972.9577727E-03
-215.6000E-06,+971.7188288E-03
-214.9000E-06,+970.5569998E-03
-214.2000E-06,+968.9523323E-03
-213.5000E-06,+967.8937984E-03
-212.8000E-06,+967.0174249E-03
-212.1000E-06,+966.4831541E-03
-211.4000E-06,+965.4942994E-03
-210.7000E-06,+965.1393994E-03
-210.0000E-06,+964.7057470E-03
-209.3000E-06,+964.0906385E-03
-208.6000E-06,+963.5285701E-03
-207.9000E-06,+962.9312470E-03
-207.2000E-06,+962.0367359E-03
-206.5000E-06,+961.1413990E-03
-205.8000E-06,+959.6124681E-03
-205.1000E-06,+958.4301411E-03
-204.4000E-06,+956.8376842E-03
-203.7000E-06,+954.4700677E-03
-203.0000E-06,+952.6907612E-03
-202.3000E-06,+951.0306375E-03
-201.6000E-06,+948.4531934E-03
-200.9000E-06,+947.6803411E-03
-200.2000E-06,+946.2510811E-03
-199.5000E-06,+945.3278335E-03
-198.8000E-06,+944.8067165E-03
-198.1000E-06,+944.2696560E-03
-197.4000E-06,+943.9395206E-03
-196.7000E-06,+943.4280678E-03
-196.0000E-06,+942.8155098E-03
-195.3000E-06,+941.7406631E-03
-194.6000E-06,+940.3367674E-03
-193.9000E-06,+938.6018845E-03
-193.2000E-06,+936.7081589E-03
-192.5000E-06,+934.1617757E-03
-191.8000E-06,+931.6504297E-03
-191.1000E-06,+929.5164278E-03
-190.4000E-06,+927.7655017E-03
-189.7000E-06,+925.9204405E-03
-189.0000E-06,+924.9289566E-03
-188.3000E-06,+924.3254502E-03
-187.6000E-06,+923.1664065E-03
-186.9000E-06,+922.1020758E-03
-186.2000E-06,+920.5848687E-03
-185.5000E-06,+918.7092505E-03
-184.8000E-06,+915.7898771E-03
-184.1000E-06,+913.2917804E-03
-183.4000E-06,+910.5723012E-03
-182.7000E-06,+908.7045742E-03
-182.0000E-06,+906.6180288E-03
-181.3000E-06,+905.1900029E-03
-180.6000E-06,+904.4734240E-03
-179.9000E-06,+903.5315866E-03
-179.2000E-06,+902.2878679E-03
-178.5000E-06,+901.0746803E-03
-177.8000E-06,+899.0107355E-03
-177.1000E-06,+896.2127431E-03
-176.4000E-06,+893.2608572E-03
-175.7000E-06,+890.0964063E-03
-175.0000E-06,+887.6019374E-03
-174.3000E-06,+886.1724125E-03
-173.6000E-06,+884.6078360E-03
-172.9000E-06,+884.0278163E-03
